 ========================================================
       E/V           P              n           eps      
    (MeV/fm3)     (MeV/fm3)      (#/fm3)    (erg/cm^3/s) 
 ========================================================
   0.65563E+02   0.48349E+00   0.69322E-01   0.00000E+00
   0.65753E+02   0.48713E+00   0.69522E-01   0.00000E+00
   0.65944E+02   0.49079E+00   0.69722E-01   0.00000E+00
   0.66134E+02   0.49447E+00   0.69922E-01   0.00000E+00
   0.66325E+02   0.49816E+00   0.70122E-01   0.00000E+00
   0.66516E+02   0.50187E+00   0.70322E-01   0.00000E+00
   0.66706E+02   0.50559E+00   0.70522E-01   0.00000E+00
   0.66897E+02   0.50933E+00   0.70722E-01   0.00000E+00
   0.67087E+02   0.51309E+00   0.70922E-01   0.00000E+00
   0.67278E+02   0.51686E+00   0.71122E-01   0.00000E+00
   0.67469E+02   0.52065E+00   0.71322E-01   0.00000E+00
   0.67659E+02   0.52445E+00   0.71522E-01   0.00000E+00
   0.67850E+02   0.52827E+00   0.71722E-01   0.00000E+00
   0.68041E+02   0.53211E+00   0.71922E-01   0.00000E+00
   0.68231E+02   0.53596E+00   0.72122E-01   0.00000E+00
   0.68422E+02   0.53983E+00   0.72322E-01   0.00000E+00
   0.68613E+02   0.54372E+00   0.72522E-01   0.00000E+00
   0.68804E+02   0.54762E+00   0.72722E-01   0.00000E+00
   0.68994E+02   0.55154E+00   0.72922E-01   0.00000E+00
   0.69185E+02   0.55548E+00   0.73122E-01   0.00000E+00
   0.69376E+02   0.55943E+00   0.73322E-01   0.00000E+00
   0.69567E+02   0.56339E+00   0.73522E-01   0.00000E+00
   0.69757E+02   0.56738E+00   0.73722E-01   0.00000E+00
   0.69948E+02   0.57138E+00   0.73922E-01   0.00000E+00
   0.70139E+02   0.57540E+00   0.74122E-01   0.00000E+00
   0.70330E+02   0.57943E+00   0.74322E-01   0.00000E+00
   0.70521E+02   0.58348E+00   0.74522E-01   0.00000E+00
   0.70711E+02   0.58755E+00   0.74722E-01   0.00000E+00
   0.70902E+02   0.59163E+00   0.74922E-01   0.00000E+00
   0.71093E+02   0.59573E+00   0.75122E-01   0.00000E+00
   0.71284E+02   0.59985E+00   0.75322E-01   0.00000E+00
   0.71475E+02   0.60398E+00   0.75522E-01   0.00000E+00
   0.71666E+02   0.60813E+00   0.75722E-01   0.00000E+00
   0.71857E+02   0.61229E+00   0.75922E-01   0.00000E+00
   0.72048E+02   0.61648E+00   0.76122E-01   0.00000E+00
   0.72238E+02   0.62068E+00   0.76322E-01   0.00000E+00
   0.72429E+02   0.62489E+00   0.76522E-01   0.00000E+00
   0.72620E+02   0.62913E+00   0.76722E-01   0.00000E+00
   0.72811E+02   0.63338E+00   0.76922E-01   0.00000E+00
   0.73002E+02   0.63764E+00   0.77122E-01   0.00000E+00
   0.73193E+02   0.64192E+00   0.77322E-01   0.00000E+00
   0.73384E+02   0.64623E+00   0.77522E-01   0.00000E+00
   0.73575E+02   0.65054E+00   0.77722E-01   0.00000E+00
   0.73766E+02   0.65488E+00   0.77922E-01   0.00000E+00
   0.73957E+02   0.65923E+00   0.78122E-01   0.00000E+00
   0.74148E+02   0.66359E+00   0.78322E-01   0.00000E+00
   0.74339E+02   0.66798E+00   0.78522E-01   0.00000E+00
   0.74530E+02   0.67238E+00   0.78722E-01   0.00000E+00
   0.74721E+02   0.67680E+00   0.78922E-01   0.00000E+00
   0.74913E+02   0.68124E+00   0.79122E-01   0.00000E+00
   0.75104E+02   0.68569E+00   0.79322E-01   0.00000E+00
   0.75295E+02   0.69016E+00   0.79522E-01   0.00000E+00
   0.75486E+02   0.69465E+00   0.79722E-01   0.00000E+00
   0.75677E+02   0.69915E+00   0.79922E-01   0.00000E+00
   0.75868E+02   0.70367E+00   0.80122E-01   0.00000E+00
   0.76059E+02   0.70821E+00   0.80322E-01   0.00000E+00
   0.76250E+02   0.71276E+00   0.80522E-01   0.00000E+00
   0.76442E+02   0.71734E+00   0.80722E-01   0.00000E+00
   0.76633E+02   0.72193E+00   0.80922E-01   0.00000E+00
   0.76824E+02   0.72654E+00   0.81122E-01   0.00000E+00
   0.77015E+02   0.73116E+00   0.81322E-01   0.00000E+00
   0.77206E+02   0.73580E+00   0.81522E-01   0.00000E+00
   0.77398E+02   0.74046E+00   0.81722E-01   0.00000E+00
   0.77589E+02   0.74514E+00   0.81922E-01   0.00000E+00
   0.77780E+02   0.74983E+00   0.82122E-01   0.00000E+00
   0.77971E+02   0.75454E+00   0.82322E-01   0.00000E+00
   0.78163E+02   0.75927E+00   0.82522E-01   0.00000E+00
   0.78354E+02   0.76402E+00   0.82722E-01   0.00000E+00
   0.78545E+02   0.76878E+00   0.82922E-01   0.00000E+00
